,show_id,type,title,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,target_ages,principal_country
1994,80235932,TV Show,Trailer Park Boys: The Animated Series,Canada,"March 31, 2019",2019,TV-MA,1 Season,TV Comedies,"Nova Scotia’s favorite miscreants have always been super sketchy. Now, carrying on from the Season 12 finale, the boys have become complete cartoons.",2019,March,Adults,Canada
1995,80232149,TV Show,"Bure Kaam Bura Natija, Kyun Bhai Chacha Haan Bhatija",United States,"March 31, 2018",2017,TV-Y7,1 Season,Kids' TV,"A clever uncle-nephew duo solves mysteries, crimes and other problems for the citizens of a colorful town where something zany is always going down.",2018,March,Older Kids,United States
1996,80170720,TV Show,Dandy,Mexico,"March 31, 2018",2016,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",A law professor is enlisted by Mexico's attorney general to join a special operations unit infiltrating the capital's most notorious drug cartel.,2018,March,Adults,Mexico
1997,80176592,Movie,Revolt,United Kingdom,"March 31, 2018",2017,R,87 min,"Action & Adventure, Sci-Fi & Fantasy","Following a devastating alien invasion, an American soldier and a French foreign aid worker attempt to find refuge in the Kenyan countryside.",2018,March,Adults,United Kingdom
1998,80170381,TV Show,Th Eena Meena Deeka Chase Comedy Show,India,"March 31, 2018",2015,TV-Y7,1 Season,"Kids' TV, TV Comedies","A hungry fox and three resourceful, surprisingly formidable birds turn the animal kingdom on its head in this lively animated series.",2018,March,Older Kids,India
1999,80142103,Movie,Bottom of the World,"Canada, United States","March 31, 2017",2017,TV-MA,84 min,"Dramas, Independent Movies, Thrillers","En route to a fresh start in Los Angeles, young couple Alex and Scarlett stop over in a sleepy Southwestern town that loosens their grip on reality.",2017,March,Adults,Canada
2000,80179907,Movie,Bridget Christie: Stand Up for Her,United Kingdom,"March 31, 2017",2016,TV-MA,51 min,Stand-Up Comedy,"Performing stand-up for a packed house in London's Hoxton Hall, comedian Bridget Christie dives into the politics of gender, sex and equality.",2017,March,Adults,United Kingdom
2001,80152842,Movie,FirstBorn,United Kingdom,"March 31, 2017",2016,TV-MA,90 min,"Horror Movies, International Movies",A young couple fights supernatural foes in an attempt to save their daughter from the dark and mysterious forces that follow her every move.,2017,March,Adults,United Kingdom
2002,80049928,TV Show,Five Came Back,United States,"March 31, 2017",2017,TV-MA,1 Season,Docuseries,Five acclaimed contemporary directors tell the story of five legendary Hollywood filmmakers who enlisted in the armed forces to document World War II.,2017,March,Adults,United States
2003,70296765,Movie,GLOW: The Story of the Gorgeous Ladies of Wrestling,United States,"March 31, 2017",2012,NR,77 min,"Documentaries, Sports Movies","This engaging documentary chronicles the 1980s phenomenon ""The Gorgeous Ladies of Wrestling,"" which elevated its female grapplers to star status.",2017,March,Adults,United States
2004,80131168,Movie,Hiroshima: The Real History,United Kingdom,"March 31, 2017",2015,TV-PG,95 min,Documentaries,This detailed examination of the 1945 Hiroshima bombing includes the prelude to and aftermath of history's controversial first use of atomic weapons.,2017,March,Older Kids,United Kingdom
2005,80119190,Movie,Know Your Enemy - Japan,United States,"March 31, 2017",1945,TV-14,63 min,"Classic Movies, Documentaries","Though culturally insensitive by modern standards, this propaganda film examines the history of Japan from the 16th century through the 1930s.",2017,March,Teens,United States
2006,80119187,Movie,Let There Be Light,United States,"March 31, 2017",1946,TV-PG,58 min,"Classic Movies, Documentaries",Some returning combat veterans suffer scars that are more psychological than physical. This film follows patients and staff during their treatment.,2017,March,Older Kids,United States
2007,80048568,TV Show,London Spy,United Kingdom,"March 31, 2017",2015,TV-MA,1 Season,"British TV Shows, Crime TV Shows, International TV Shows","When his reclusive-banker lover disappears, a hard-partying young British hedonist plunges into the dangerous world of espionage to find the truth.",2017,March,Adults,United Kingdom
2008,80178464,TV Show,Monkey Planet,United Kingdom,"March 31, 2017",2014,TV-PG,1 Season,"British TV Shows, Docuseries, Science & Nature TV","Join zoologist Dr. George McGavin for a fascinating, up-close look at the habits and behaviors of primates, our closest animal relatives.",2017,March,Older Kids,United Kingdom
2009,80119192,Movie,Nazi Concentration Camps,United States,"March 31, 2017",1945,TV-MA,59 min,"Classic Movies, Documentaries","Shocking footage shows Nazi concentration camps after liberation, including Buchenwald and Ohrdruf, where Gen. Eisenhower ordered local Nazis to tour.",2017,March,Adults,United States
2010,70202593,TV Show,North & South,United Kingdom,"March 31, 2017",2004,NR,1 Season,"British TV Shows, Romantic TV Shows, TV Dramas","When her father moves his family to an industrial mill town, the parson's daughter, Margaret Hale, struggles to adapt to her harsh new surroundings.",2017,March,Adults,United Kingdom
2011,60027945,Movie,Prelude to War,United States,"March 31, 2017",1942,TV-PG,52 min,"Classic Movies, Documentaries","Frank Capra's documentary chronicles the rise of authoritarianism in Germany, Italy and Japan as America prepares for a defense of liberty.",2017,March,Older Kids,United States
2012,80119188,Movie,San Pietro,United States,"March 31, 2017",1945,TV-14,32 min,"Classic Movies, Documentaries","After the Allies invade Italy, the Liri Valley town of San Pietro becomes an example of the brutal effects of combat, both for soldiers and civilians.",2017,March,Teens,United States
2013,60027942,Movie,The Battle of Midway,United States,"March 31, 2017",1942,TV-G,18 min,"Classic Movies, Documentaries","Director John Ford captures combat footage of the Battle of Midway, an air and sea campaign that was a turning point in the war in the Pacific.",2017,March,Kids,United States
2014,80115857,Movie,The Discovery,United States,"March 31, 2017",2017,TV-MA,102 min,"Dramas, Independent Movies, Romantic Movies","A scientist whose proof of an afterlife caused a rash of suicides forges ahead with his research, while his disapproving son falls for a troubled woman.",2017,March,Adults,United States
2015,70281026,TV Show,The Fear,United Kingdom,"March 31, 2017",2012,TV-MA,1 Season,"British TV Shows, Crime TV Shows, TV Dramas","Richie Beckett is an aging Brighton crime boss who's struggling with the onset of dementia, just as a rival gang is trying to take over his territory.",2017,March,Adults,United Kingdom
2016,70304244,TV Show,The Great Train Robbery,United Kingdom,"March 31, 2017",2013,NR,1 Season,"British TV Shows, Crime TV Shows, International TV Shows","This two-part tale delivers the true story of the Great Train Robbery of 1963, the biggest one in England's history.",2017,March,Adults,United Kingdom
2017,80119194,Movie,"The Memphis Belle: A Story of a
Flying Fortress",United States,"March 31, 2017",1944,TV-PG,40 min,"Classic Movies, Documentaries",This documentary centers on the crew of the B-17 Flying Fortress Memphis Belle as it prepares to execute a strategic bombing mission over Germany.,2017,March,Older Kids,United States
2018,80179057,TV Show,The Murder Detectives,United Kingdom,"March 31, 2017",2015,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries","This series tracks the ups and downs of an 18-month investigation into the 2014 stabbing murder of teenager Nicholas Robinson in Bristol, England.",2017,March,Adults,United Kingdom
2019,80119191,Movie,The Negro Soldier,United States,"March 31, 2017",1944,TV-14,40 min,"Classic Movies, Documentaries",This documentary urged African Americans to enlist and join in the effort to be part of America's continuing fight in World War II.,2017,March,Teens,United States
2020,80119193,Movie,Thunderbolt,United States,"March 31, 2017",1947,TV-14,42 min,"Classic Movies, Documentaries","A P-47 Thunderbolt squadron is shown in preparation, at play and in bombing raids aiming to halt Nazi supply lines and aid Allied ground troops.",2017,March,Teens,United States
2021,80119189,Movie,Tunisian Victory,"United States, United Kingdom","March 31, 2017",1944,TV-PG,76 min,"Classic Movies, Documentaries","British and American troops join forces to liberate a Nazi stranglehold in North Africa, sharing battles, hard work and a peaceful Christmas dinner.",2017,March,Older Kids,United States
2022,80119186,Movie,Undercover: How to Operate Behind Enemy Lines,United States,"March 31, 2017",1943,TV-PG,61 min,"Classic Movies, Documentaries",This World War II-era training film dramatizes how secret agents should act while undercover and how to avoid capture by enemies.,2017,March,Older Kids,United States
2023,70013050,Movie,Why We Fight: The Battle of Russia,United States,"March 31, 2017",1943,TV-14,82 min,Documentaries,This installment of Frank Capra's acclaimed documentary series highlights the need for a Russo-American alliance to defeat the Nazis.,2017,March,Teens,United States
2024,80173770,TV Show,Wild Alaska,United Kingdom,"March 31, 2017",2015,TV-PG,1 Season,"British TV Shows, Docuseries, Science & Nature TV","The natural bounty of Alaska sustains its diverse species through extreme weather conditions in three seasons, each with its rewards and challenges.",2017,March,Older Kids,United Kingdom
2025,80173896,TV Show,Wild Arabia,United Kingdom,"March 31, 2017",2013,TV-PG,1 Season,"British TV Shows, Docuseries, Science & Nature TV",The widely varied geology and dramatic landscapes in the continental crossroads of Arabia harbors a rich history and an abundance of wildlife.,2017,March,Older Kids,United Kingdom
2026,70022548,Movie,WWII: Report from the Aleutians,United States,"March 31, 2017",1943,NR,45 min,Documentaries,Filmmaker John Huston narrates this Oscar-nominated World War II-era film about life among the U.S. soldiers protecting Alaska’s Aleutian Islands.,2017,March,Adults,United States
2027,80097423,Movie,Covered: Alive in Asia,United States,"March 31, 2016",2016,TV-G,75 min,"Documentaries, Faith & Spirituality, Music & Musicals","Christian musician Israel Houghton leads his band Israel & New Breed on a tour supporting their newest album of multicultural, hybrid-genre songs.",2016,March,Kids,United States
2028,70259177,TV Show,Jack Taylor,"United States, Ireland","March 31, 2013",2016,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Ken Bruen's bestselling crime novels leap to life in this series of TV movies featuring Irish cop-turned-private-investigator Jack Taylor.,2013,March,Adults,United States
2029,81025019,TV Show,Pablo,United Kingdom,"March 30, 2019",2017,TV-Y,1 Season,"British TV Shows, Kids' TV","Equipped with crayons and his creativity, a boy with autism draws an imaginary world where his animal pals help him tackle real-life situations.",2019,March,Kids,United Kingdom
2030,80993794,TV Show,แผนร้ายนายเจ้าเล่ห์,United States,"March 30, 2019",2016,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","When two brothers fall for two sisters, they quickly realize the age differences between them are too big to ignore.",2019,March,Teens,United States
2031,80117458,Movie,First Match,United States,"March 30, 2018",2018,TV-MA,103 min,"Dramas, Independent Movies, Sports Movies",A tenacious high school girl raised in foster homes in the inner city tries to reconnect with her ex-con father by joining a boys wrestling team.,2018,March,Adults,United States
2032,80143362,Movie,Happy Anniversary,United States,"March 30, 2018",2018,TV-MA,78 min,"Comedies, Romantic Movies",A quirky couple spends their three-year dating anniversary looking back at their relationship and contemplating whether they should break up.,2018,March,Adults,United States
2033,80201200,Movie,Legend of the Naga Pearls,China,"March 30, 2018",2017,TV-MA,108 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy","A petty thief teams up with two bickering accomplices to safeguard a powerful relic and save humankind from a tribe of vengeful, winged humanoids.",2018,March,Adults,China
2034,80145087,TV Show,Rapture,United States,"March 30, 2018",2018,TV-MA,1 Season,Docuseries,Groundbreaking artists share their life stories in this vibrant documentary series that captures hip-hop's impact on global culture.,2018,March,Adults,United States
2035,80183197,Movie,Sofía Niño de Rivera: Selección Natural,Mexico,"March 30, 2018",2018,TV-MA,62 min,Stand-Up Comedy,"Mexico's Sofía Niño de Rivera brings her dark humor to the stage with jokes about marriage traps, sexually attractive leopards and funny funerals.",2018,March,Adults,Mexico
2036,80148210,Movie,The Titan,"United Kingdom, Spain, United States, Germany","March 30, 2018",2018,TV-MA,97 min,"Dramas, Sci-Fi & Fantasy, Thrillers","On a bleak future Earth, a soldier endures a radical genetic transformation to save humanity. But his wife fears he's becoming more creature than man.",2018,March,Adults,United Kingdom
2037,70128549,Movie,Trailer Park Boys: Countdown to Liquor Day,Canada,"March 30, 2018",2009,R,102 min,"Comedies, Cult Movies","After their latest jail stint, boozy pals Julian, Bubbles and Ricky plan to go legit but learn trailer park manager Jim aims to demolish their homes.",2018,March,Adults,Canada
2038,70069233,Movie,Trailer Park Boys: The Movie,Canada,"March 30, 2018",2006,R,95 min,"Comedies, Cult Movies","In this feature-length adventure, Ricky, Julian and Bubbles – just out of jail – plan the lamest scheme yet: to get rich by stealing tons of change.",2018,March,Adults,Canada
