index,SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Active_case
155603,155604,11/15/2020,Unknown,Iceland,2020/11/16 05:25,5189,25,4813,351
155604,155605,11/15/2020,Unknown,Indonesia,2020/11/16 05:25,467113,15211,391991,59911
155605,155606,11/15/2020,Unknown,Iran,2020/11/16 05:25,762068,41493,558818,161757
155606,155607,11/15/2020,Unknown,Iraq,2020/11/16 05:25,519152,11670,447039,60443
155607,155608,11/15/2020,Unknown,Ireland,2020/11/16 05:25,67903,1979,23364,42560
155608,155609,11/15/2020,Unknown,Israel,2020/11/16 05:25,323741,2732,313380,7629
155609,155610,11/15/2020,Unknown,Ivory Coast,2020/11/16 05:25,20976,128,20647,201
155610,155611,11/15/2020,Unknown,Jamaica,2020/11/16 05:25,9884,231,5248,4405
155611,155612,11/15/2020,Unknown,Jordan,2020/11/16 05:25,143678,1772,10067,131839
155612,155613,11/15/2020,Unknown,Kazakhstan,2020/11/16 05:25,121051,1899,109944,9208
155613,155614,11/15/2020,Unknown,Kenya,2020/11/16 05:25,70245,1269,45766,23210
155614,155615,11/15/2020,Unknown,Kosovo,2020/11/16 05:25,29117,822,17305,10990
155615,155616,11/15/2020,Unknown,Kuwait,2020/11/16 05:25,136840,838,127585,8417
155616,155617,11/15/2020,Unknown,Kyrgyzstan,2020/11/16 05:25,66983,1203,57760,8020
155617,155618,11/15/2020,Unknown,Laos,2020/11/16 05:25,24,0,23,1
155618,155619,11/15/2020,Unknown,Latvia,2020/11/16 05:25,10547,123,1515,8909
155619,155620,11/15/2020,Unknown,Lebanon,2020/11/16 05:25,105430,817,60416,44197
155620,155621,11/15/2020,Unknown,Lesotho,2020/11/16 05:25,2041,44,1056,941
155621,155622,11/15/2020,Unknown,Liberia,2020/11/16 05:25,1507,82,1314,111
155622,155623,11/15/2020,Unknown,Libya,2020/11/16 05:25,73602,1017,44133,28452
155623,155624,11/15/2020,Unknown,Liechtenstein,2020/11/16 05:25,985,5,682,298
155624,155625,11/15/2020,Unknown,Lithuania,2020/11/16 05:25,34758,277,7753,26728
155625,155626,11/15/2020,Unknown,Luxembourg,2020/11/16 05:25,25931,219,15428,10284
155626,155627,11/15/2020,Unknown,MS Zaandam,2020/11/16 05:25,9,2,0,7
155627,155628,11/15/2020,Unknown,Madagascar,2020/11/16 05:25,17310,250,16592,468
155628,155629,11/15/2020,Unknown,Malawi,2020/11/16 05:25,5965,185,5399,381
155629,155630,11/15/2020,Unknown,Malaysia,2020/11/16 05:25,47417,309,34785,12323
155630,155631,11/15/2020,Unknown,Maldives,2020/11/16 05:25,12204,43,11289,872
155631,155632,11/15/2020,Unknown,Mali,2020/11/16 05:25,3900,141,2949,810
155632,155633,11/15/2020,Unknown,Malta,2020/11/16 05:25,8034,97,5765,2172
155633,155634,11/15/2020,Unknown,Marshall Islands,2020/11/16 05:25,1,0,1,0
155634,155635,11/15/2020,Unknown,Mauritania,2020/11/16 05:25,7952,165,7524,263
155635,155636,11/15/2020,Unknown,Mauritius,2020/11/16 05:25,478,10,431,37
155636,155637,11/15/2020,Unknown,Moldova,2020/11/16 05:25,89279,2019,70812,16448
155637,155638,11/15/2020,Unknown,Monaco,2020/11/16 05:25,548,2,450,96
155638,155639,11/15/2020,Unknown,Mongolia,2020/11/16 05:25,431,0,328,103
155639,155640,11/15/2020,Unknown,Montenegro,2020/11/16 05:25,27177,391,17387,9399
155640,155641,11/15/2020,Unknown,Morocco,2020/11/16 05:25,293177,4779,238598,49800
155641,155642,11/15/2020,Unknown,Mozambique,2020/11/16 05:25,14448,113,12505,1830
155642,155643,11/15/2020,Unknown,Namibia,2020/11/16 05:25,13508,138,12680,690
